Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away,home_win,implied_home_prob_vig,implied_away_prob_vig,vig,market_home_prob
2007-11-09,New Orleans Pelicans,San Antonio Spurs,188.0,3.5,145.0,-165.0,182,-12,2,2,0,0.40816326530612246,0.6226415094339622,0.030804774740084806,0.39596563317146055
2007-11-10,Indiana Pacers,Denver Nuggets,210.5,0.0,105.0,-125.0,219,-7,1,1,0,0.4878048780487805,0.5555555555555556,0.04336043360433606,0.4675324675324675
2007-11-10,Orlando Magic,Phoenix Suns,205.5,0.0,105.0,-125.0,202,-10,1,1,0,0.4878048780487805,0.5555555555555556,0.04336043360433606,0.4675324675324675
2007-11-10,New Jersey Nets,Boston Celtics,186.0,2.0,130.0,-150.0,213,-11,2,1,0,0.43478260869565216,0.6,0.034782608695652195,0.42016806722689076
2007-11-10,Chicago Bulls,Toronto Raptors,191.0,5.5,-260.0,220.0,172,-30,2,1,0,0.7222222222222222,0.3125,0.03472222222222232,0.6979865771812079
2007-11-10,Utah Jazz,Memphis Grizzlies,219.0,11.0,-600.0,475.0,212,24,1,1,1,0.8571428571428571,0.17391304347826086,0.03105590062111796,0.8313253012048193
2007-11-10,Sacramento Kings,Minnesota Timberwolves,193.5,4.5,-200.0,170.0,193,7,1,1,1,0.6666666666666666,0.37037037037037035,0.03703703703703698,0.6428571428571429
2007-11-10,Portland Trail Blazers,Dallas Mavericks,202.5,8.0,290.0,-350.0,173,9,1,2,1,0.2564102564102564,0.7777777777777778,0.03418803418803407,0.24793388429752067
2007-11-11,San Antonio Spurs,Milwaukee Bucks,185.0,10.5,-700.0,550.0,201,25,2,2,1,0.875,0.15384615384615385,0.028846153846153744,0.8504672897196263
2007-11-11,Seattle SuperSonics,Detroit Pistons,199.0,6.5,235.0,-275.0,210,-4,2,2,0,0.29850746268656714,0.7333333333333333,0.03184079601990053,0.2892960462873674
2007-11-11,New York Knicks,Miami Heat,196.0,4.0,-150.0,130.0,147,-3,2,2,0,0.6,0.43478260869565216,0.034782608695652195,0.5798319327731092
2007-11-11,Los Angeles Clippers,Cleveland Cavaliers,196.0,0.0,-110.0,-110.0,198,-8,2,2,0,0.5238095238095238,0.5238095238095238,0.04761904761904767,0.5
2007-11-11,Charlotte Bobcats,Houston Rockets,187.5,5.5,235.0,-275.0,167,-3,2,2,0,0.29850746268656714,0.7333333333333333,0.03184079601990053,0.2892960462873674
2007-11-11,Atlanta Hawks,Washington Wizards,195.5,5.0,-230.0,190.0,191,-11,2,2,0,0.696969696969697,0.3448275862068966,0.04179728317659359,0.6690070210631895
2007-11-11,Philadelphia 76ers,New Orleans Pelicans,192.5,2.0,130.0,-150.0,165,-21,2,2,0,0.43478260869565216,0.6,0.034782608695652195,0.42016806722689076
2007-11-12,Utah Jazz,Sacramento Kings,204.5,13.5,-1700.0,1050.0,210,24,2,2,1,0.9444444444444444,0.08695652173913043,0.0314009661835748,0.9156908665105387
2007-11-12,New Jersey Nets,New Orleans Pelicans,189.0,2.0,110.0,-130.0,166,-2,2,1,0,0.47619047619047616,0.5652173913043478,0.04140786749482395,0.4572564612326044
2007-11-12,Denver Nuggets,Cleveland Cavaliers,205.5,6.5,-335.0,285.0,222,22,2,1,1,0.7701149425287356,0.2597402597402597,0.029855202268995296,0.7477895347151761
2007-11-13,Orlando Magic,Seattle SuperSonics,209.5,10.5,-650.0,525.0,179,27,3,2,1,0.8666666666666667,0.16,0.026666666666666616,0.8441558441558442
2007-11-13,Charlotte Bobcats,Miami Heat,181.0,2.0,-125.0,105.0,167,15,2,2,1,0.5555555555555556,0.4878048780487805,0.04336043360433606,0.5324675324675325
